buy,a,Electric_corp.,1,11
buy,a,Electric_corp.,1,11
buy,a,Electric_corp.,1,11
buy,a,Electric_corp.,10,110
buy,a,Electric_corp.,10,110
buy,a,Electric_corp.,10,110
buy,a,Electric_corp.,10,110
buy,a,Electric_corp.,250,0
buy,a,Electric_corp.,20,0
buy,a,Electric_corp.,250,0
buy,a,sdfsdf,23,2829
buy,a,Electric_corp.,23,1035
sell,a,Electric,22,792
buy,a,Electric_corp.,5000,0
buy,a,Electric_corp.,1,11
buy,a,Electric_corp.,1,11
buy,a,Electric_corp.,1,11
buy,a,Electric_corp.,10,110
buy,a,Electric_corp.,10,110
buy,a,Electric_corp.,10,110
buy,a,Electric_corp.,10,110
buy,a,Electric_corp.,250,0
buy,a,Electric_corp.,20,0
buy,a,Electric_corp.,250,0
buy,a,sdfsdf,23,2829
buy,a,Electric_corp.,23,1035
sell,a,Electric,22,792
buy,a,Electric_corp.,5000,0
buy,a,Electric_corp.,1,11
buy,a,Electric_corp.,1,11
buy,a,Electric_corp.,1,11
buy,a,Electric_corp.,10,110
buy,a,Electric_corp.,10,110
buy,a,Electric_corp.,10,110
buy,a,Electric_corp.,10,110
buy,a,Electric_corp.,250,0
buy,a,Electric_corp.,20,0
buy,a,Electric_corp.,250,0
buy,a,sdfsdf,23,2829
buy,a,Electric_corp.,23,1035
sell,a,Electric,22,792
buy,a,Electric_corp.,5000,0
